Quais são os elementos que compõem uma estrutura de dados?;A linguagem de programação e o propósito do programa.;Os dados a representar e as operações associadas.;O número de linhas de código e o tamanho do arquivo.;A quantidade de memória disponível e a velocidade do processador.;O número de usuários e o feedback do cliente.;B
Qual é a importância de se considerar os custos e benefícios ao escolher uma estrutura de representação de dados?;Não há custos associados à escolha de uma estrutura de dados.;Para garantir que o programa seja o mais complicado possível.;Para garantir que o programa seja o mais simples possível.;Para tomar decisões informadas e eficientes durante o processo de desenvolvimento.;Para aumentar a popularidade do programa.;D
O que é um Tipo Abstrato de Dados (TAD)?;Uma linguagem de programação moderna.;Um tipo de dados apenas disponível em linguagens antigas.;Um tipo de dados definido apenas em termos de um tipo e um conjunto de operações sobre aquele tipo.;Um tipo de dados que não pode ser utilizado em programas de computador.;Um tipo de dados que não pode ser representado em computadores modernos.;C
Por que é importante considerar a utilização da memória principal de forma eficiente durante o desenvolvimento de programas?;Para aumentar o tempo de execução do programa.;Para tornar o programa mais complicado.;Para garantir que o programa utilize toda a memória disponível.;Para garantir que o programa seja o mais eficiente possível.;Para reduzir a velocidade de processamento do programa.;D
Qual é o principal objetivo do processo de abstração no desenvolvimento de programas de computador?;Tornar o programa mais lento.;Tornar o programa mais complicado.;Analisar um problema real e representá-lo através de um programa de computador.;Aumentar a complexidade do programa.;Tornar o programa mais simples.;C
Por que um TAD é considerado um exemplo de encapsulamento?;Porque esconde os detalhes de implementação e define apenas as operações sobre aquele tipo de dados.;Porque torna os programas mais lentos.;Porque torna os programas mais complicados.;Porque dificulta a compreensão dos programas pelos usuários.;Porque aumenta a complexidade dos programas.;A
O que caracteriza a alocação de memória estática em programas?;Alocação de memória que não pode ser modificada durante a execução do programa.;Alocação de memória que é ajustada automaticamente conforme a necessidade do programa.;Alocação de memória que é exclusivamente usada para armazenar variáveis locais.;Alocação de memória que é feita apenas para variáveis globais.;Alocação de memória que é feita somente para listas encadeadas.;A
Quais são as principais características da alocação de memória dinâmica em programas?;Alocação de memória que é definida em tempo de compilação.;Alocação de memória que é estática e não pode ser modificada.;Alocação de memória que permite ajustes durante a execução do programa.;Alocação de memória que é feita apenas para variáveis globais.;Alocação de memória que é feita somente para vetores.;C
Por que a alocação de memória dinâmica é vantajosa em comparação com a alocação de memória estática?;Porque permite ajustes na quantidade de memória necessária durante a execução do programa.;Porque é mais simples de implementar.;Porque consome menos recursos do sistema.;Porque reduz a complexidade do código fonte.;Porque garante que não haverá vazamento de memória.;A
O que caracteriza uma lista?;Sequência infinita de itens de dados.;Sequência finita de itens de dados, onde os elementos podem estar ordenados ou não.;Sequência finita de itens de dados, onde os elementos estão sempre ordenados.;Sequência de itens de dados que não podem ser modificados.;Sequência de itens de dados onde todos os elementos são do mesmo tipo.;B
Qual é a característica principal da implementação de listas através de vetores?;Uso de referências para acessar elementos sequenciais de memória.;Ocupação de espaços não contíguos de memória.;Alocação dinâmica de memória para crescer ou diminuir.;Acesso randômico aos elementos.;Dimensionamento com um número máximo de elementos.;E
Como funciona a implementação de listas encadeadas em comparação com vetores?;Os elementos estão em sequência na memória.;Cada elemento tem a referência do próximo elemento.;Alocação estática de memória.;Permitem acesso randômico aos elementos.;São dimensionadas com um número máximo de elementos.;B
O que representa cada nó em uma lista encadeada?;A informação armazenada e o tamanho do nó.;O ponteiro para o próximo elemento e o valor do elemento.;O endereço de memória e o tamanho do elemento.;O tipo de dado e a posição na lista.;O índice do elemento e a ordem de inserção.;B
Quais são as duas abordagens básicas de implementação de listas?;Através de matrizes e estruturas complexas.;Através de arrays e pilhas.;Através de vetores e listas encadeadas.;Através de filas e árvores.;Através de conjuntos e dicionários.;C
Qual é o conceito de lista ordenada?;Uma lista onde os elementos são posicionados em ordem de inserção.;Uma lista onde os elementos estão dispostos aleatoriamente.;Uma lista onde os elementos são encapsulados.;Uma lista onde há relação entre os valores e as posições.;Uma lista onde os elementos são removidos na ordem em que foram inseridos.;D
Por que a implementação de listas encadeadas é preferível em situações onde o tamanho da lista pode variar frequentemente?;Porque permitem crescimento e diminuição dinâmica da lista.;Porque ocupam menos espaço de memória.;Porque permitem acesso randômico aos elementos.;Porque são mais fáceis de implementar.;Porque são mais eficientes em termos de processamento.;A
